Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b1,0-0,2,1--,3(1-1) BC1X,O,WSN,Starlin Castro,Huascar Ynoa,3%,50%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.
Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7,Top of the 2nd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 5-6-7
t2,0-0,0,---,3(0-2) SCS,O,ATL,Austin Riley,Stephen Strasburg,-3%,47%,Strikeout Swinging
t2,0-0,1,---,3(0-2) CCS,O,ATL,Dansby Swanson,Stephen Strasburg,-2%,45%,Strikeout Swinging
t2,0-0,2,---,3(1-1) BCX,O,ATL,Alex Jackson,Stephen Strasburg,-1%,44%,Lineout: LF (Front of Home)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7,Bottom of the 2nd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 5-6-7
b2,0-0,0,---,2(0-1) CX,O,WSN,Andrew Stevenson,Huascar Ynoa,3%,47%,Groundout: SS-1B (SS-2B)
b2,0-0,1,---,4(1-2) BFSS,O,WSN,Hernan Perez,Huascar Ynoa,2%,49%,Strikeout Swinging
b2,0-0,2,---,6(2-2) BFCBFX,O,WSN,Luis Garcia,Huascar Ynoa,1%,50%,Groundout: P-1B (P's Left)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1,Top of the 3rd Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 8-9-1
t3,0-0,0,---,5(2-2) FCBBS,O,ATL,Cristian Pache,Stephen Strasburg,-3%,47%,Strikeout Swinging
t3,0-0,1,---,4(1-2) SBFS,O,ATL,Huascar Ynoa,Stephen Strasburg,-2%,45%,Strikeout Swinging
t3,0-0,2,---,5(3-1) CBBBB,,ATL,Ronald Acuna Jr.,Stephen Strasburg,2%,47%,Walk
t3,0-0,2,1--,2(1-0) 11B>B,,ATL,Ozzie Albies,Stephen Strasburg,1%,48%,Acuna Steals 2B
t3,0-0,2,-2-,4(3-0) 11B>B.*BB,,ATL,Ozzie Albies,Stephen Strasburg,1%,49%,Walk
t3,0-0,2,12-,2(0-1) SX,O,ATL,Freddie Freeman,Stephen Strasburg,-6%,43%,Flyball: CF (Deep CF)
,,,,,,,,,0 runs 0 hits 0 errors 2 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 2 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 2 LOB. Braves 0 Nationals 0.
Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1,Bottom of the 3rd Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 8-9-1
b3,0-0,0,---,5(2-2) SBSBS,O,WSN,Tres Barrera,Huascar Ynoa,3%,46%,Strikeout Swinging
b3,0-0,1,---,7(3-2) BBFBCFX,,WSN,Stephen Strasburg,Huascar Ynoa,-6%,41%,Double to CF (Line Drive to Deep CF-RF)
b3,0-0,1,-2-,5(3-1) *BFB*BB,,WSN,Victor Robles,Huascar Ynoa,-2%,39%,Walk
b3,0-0,1,12-,2(1-0) BX,OO,WSN,Trea Turner,Huascar Ynoa,11%,50%,Ground Ball Double Play: 2B-SS-1B (Deep SS-2B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.
Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6,Top of the 4th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 4-5-6
t4,0-0,0,---,6(3-2) BCBBCX,O,ATL,Marcell Ozuna,Stephen Strasburg,-3%,47%,Flyball: CF (Deep LF-CF)
t4,0-0,1,---,6(3-2) CSBBBC,O,ATL,Austin Riley,Stephen Strasburg,-2%,44%,Strikeout Looking
t4,0-0,2,---,3(2-0) BBX,O,ATL,Dansby Swanson,Stephen Strasburg,-2%,43%,Flyball: CF (Deep CF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5,Bottom of the 4th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 3-4-5
b4,0-0,0,---,2(1-0) BX,O,WSN,Juan Soto,Huascar Ynoa,3%,46%,Flyball: LF (Deep LF)
b4,0-0,1,---,6(2-2) BCFBFX,O,WSN,Starlin Castro,Huascar Ynoa,2%,48%,Groundout: C-1B
b4,0-0,2,---,6(3-2) BBCSBS,O,WSN,Andrew Stevenson,Huascar Ynoa,2%,50%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9,Top of the 5th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 7-8-9
t5,0-0,0,---,4(1-2) CSBX,O,ATL,Alex Jackson,Stephen Strasburg,-4%,46%,Flyball: CF (Deep CF)
t5,0-0,1,---,6(2-2) CCFBBS,O,ATL,Cristian Pache,Stephen Strasburg,-3%,43%,Strikeout Swinging
t5,0-0,2,---,1(0-0) X,O,ATL,Huascar Ynoa,Stephen Strasburg,-2%,41%,Flyball: RF (Front of Home)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8,Bottom of the 5th Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 6-7-8
b5,0-0,0,---,3(0-2) FT*S,O,WSN,Hernan Perez,Huascar Ynoa,4%,45%,Strikeout Swinging; Perez out at 1B/C-1B
b5,0-0,1,---,7(3-2) BSFFBBS,O,WSN,Luis Garcia,Huascar Ynoa,3%,48%,Strikeout Swinging
b5,0-0,2,---,1(0-0) X,O,WSN,Tres Barrera,Huascar Ynoa,2%,50%,Groundout: SS-1B (SS-2B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 6th Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3
t6,0-0,0,---,8(3-2) BFCBBFFC,O,ATL,Ronald Acuna Jr.,Stephen Strasburg,-5%,45%,Strikeout Looking
t6,0-0,1,---,4(1-2) BFFS,O,ATL,Ozzie Albies,Stephen Strasburg,-3%,42%,Strikeout Swinging
t6,0-0,2,---,4(3-0) BBBX,O,ATL,Freddie Freeman,Stephen Strasburg,-2%,39%,Groundout: 1B-P (2B-1B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 0.
Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2,Bottom of the 6th Nationals Batting Tied 0-0 Braves' Luke Jackson facing 9-1-2
,,,,,,,,,Luke Jackson replaces Huascar Ynoa pitching and batting 9thYadiel Hernández pinch hits for Stephen Strasburg (P) batting 9th,Luke Jackson replaces Huascar Ynoa pitching and batting 9thYadiel Hernández pinch hits for Stephen Strasburg (P) batting 9th,Luke Jackson replaces Huascar Ynoa pitching and batting 9thYadiel Hernández pinch hits for Stephen Strasburg (P) batting 9th
b6,0-0,0,---,5(2-2) ..BBSFX,O,WSN,Yadiel Hernández,Luke Jackson,5%,44%,Groundout: 1B-P
b6,0-0,1,---,6(3-2) BCBBCB,,WSN,Victor Robles,Luke Jackson,-5%,39%,Walk
b6,0-0,1,1--,3(0-2) C11F1>*B,,WSN,Trea Turner,Luke Jackson,-5%,35%,Robles Steals 2B
b6,0-0,1,-2-,5(2-2) C11F1>*B.BX,O,WSN,Trea Turner,Luke Jackson,6%,41%,Flyball: RF; Robles to 3B
b6,0-0,2,--3,(3-0) VVVV,,WSN,Juan Soto,Luke Jackson,-1%,39%,Intentional Walk
b6,0-0,2,1-3,3(1-1) BC>B,,WSN,Starlin Castro,Luke Jackson,-1%,39%,Soto Steals 2B
b6,0-0,2,-23,6(3-2) BC>B.FBX,O,WSN,Starlin Castro,Luke Jackson,11%,50%,Groundout: P-1B (Front of Home)
,,,,,,,,,0 runs 0 hits 0 errors 2 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 2 LOB. Braves 0 Nationals 0.,0 runs 0 hits 0 errors 2 LOB. Braves 0 Nationals 0.
Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6,Top of the 7th Braves Batting Tied 0-0 Nationals' Tanner Rainey facing 4-5-6
,,,,,,,,,Tanner Rainey replaces Yadiel Hernández (PH) pitching and batting 9th,Tanner Rainey replaces Yadiel Hernández (PH) pitching and batting 9th,Tanner Rainey replaces Yadiel Hernández (PH) pitching and batting 9th
t7,0-0,0,---,4(2-1) .BBFX,O,ATL,Marcell Ozuna,Tanner Rainey,-6%,44%,Flyball: CF (CF-RF)
t7,0-0,1,---,1(0-0) X,O,ATL,Austin Riley,Tanner Rainey,-4%,40%,Flyball: RF (Deep RF)
t7,0-0,2,---,2(0-1) CX,,ATL,Dansby Swanson,Tanner Rainey,3%,43%,Single to LF (Line Drive to Short LF Line)
,,,,,,,,,Pablo Sandoval pinch hits for Alex Jackson (C) batting 7th,Pablo Sandoval pinch hits for Alex Jackson (C) batting 7th,Pablo Sandoval pinch hits for Alex Jackson (C) batting 7th
t7,0-0,2,1--,6(3-2) .1BF1SBB>X,RR,ATL,Pablo Sandoval,Tanner Rainey,49%,92%,Home Run (Fly Ball to Deep CF); Swanson Scores
t7,2-0,2,---,7(3-2) CBSBFB*B,,ATL,Cristian Pache,Tanner Rainey,0%,92%,Walk
,,,,,,,,,Travis d'Arnaud pinch hits for Luke Jackson (P) batting 9th,Travis d'Arnaud pinch hits for Luke Jackson (P) batting 9th,Travis d'Arnaud pinch hits for Luke Jackson (P) batting 9th
t7,2-0,2,1--,8(3-2) .1CCB*BFF*B>X,O,ATL,Travis d'Arnaud,Tanner Rainey,-1%,91%,Flyball: CF (Deep CF-RF)
,,,,,,,,,2 runs 2 hits 0 errors 1 LOB. Braves 2 Nationals 0.,2 runs 2 hits 0 errors 1 LOB. Braves 2 Nationals 0.,2 runs 2 hits 0 errors 1 LOB. Braves 2 Nationals 0.
Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7,Bottom of the 7th Nationals Batting Behind 0-2 Braves' Sean Newcomb facing 5-6-7
,,,,,,,,,Sean Newcomb replaces Marcell Ozuna (LF) pitching and batting 4thTravis d'Arnaud moves from PH to C Ender Inciarte replaces Pablo Sandoval (PH) playing LF batting 7th,Sean Newcomb replaces Marcell Ozuna (LF) pitching and batting 4thTravis d'Arnaud moves from PH to C Ender Inciarte replaces Pablo Sandoval (PH) playing LF batting 7th,Sean Newcomb replaces Marcell Ozuna (LF) pitching and batting 4thTravis d'Arnaud moves from PH to C Ender Inciarte replaces Pablo Sandoval (PH) playing LF batting 7th
b7,0-2,0,---,6(3-2) ...BBLBCT,O,WSN,Andrew Stevenson,Sean Newcomb,5%,96%,Strikeout Swinging
b7,0-2,1,---,6(2-2) BBFFFS,O,WSN,Hernan Perez,Sean Newcomb,3%,99%,Strikeout Swinging
,,,,,,,,,Ryan Zimmerman pinch hits for Luis Garcia (2B) batting 7th,Ryan Zimmerman pinch hits for Luis Garcia (2B) batting 7th,Ryan Zimmerman pinch hits for Luis Garcia (2B) batting 7th
b7,0-2,2,---,3(0-2) .SSS,O,WSN,Ryan Zimmerman,Sean Newcomb,1%,100%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 2 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 2 Nationals 0.,0 runs 0 hits 0 errors 0 LOB. Braves 2 Nationals 0.
