Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9
t3,6-5,0,---,4(2-1) BCBX,O,ATL,Austin Riley,Kyle McGowin,-2%,62%,Groundout: SS-1B (SS-3B Hole)
t3,6-5,1,---,5(2-2) BFBFX,O,ATL,Ender Inciarte,Kyle McGowin,-2%,60%,Groundout: 1B unassisted
,,,,,,,,,Johan Camargo pinch hits for Max Fried (P) batting 9th,Johan Camargo pinch hits for Max Fried (P) batting 9th,Johan Camargo pinch hits for Max Fried (P) batting 9th
t3,6-5,2,---,4(1-2) .CBT*S,O,ATL,Johan Camargo,Kyle McGowin,-1%,59%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9
,,,,,,,,,Josh Tomlin replaces Johan Camargo (PH) pitching and batting 9th,Josh Tomlin replaces Johan Camargo (PH) pitching and batting 9th,Josh Tomlin replaces Johan Camargo (PH) pitching and batting 9th
b3,5-6,0,---,5(0-2) .CTFFT,O,WSN,Andrew Stevenson,Josh Tomlin,3%,63%,Strikeout Swinging
b3,5-6,1,---,7(3-2) CBBBCFX,O,WSN,Jonathan Lucroy,Josh Tomlin,2%,65%,Groundout: 3B-1B
